company_name,bse_code,nse_code,industry,sector,sector_v1
GFL,500173,GFLLIMITED,Finance,Holding Company,Finance
Banganga Paper,512025,,Commercial Services & Supplies,Diversified Commercial Services,Diversified Commercial Services
Blue Pearl Agri,514440,,Chemicals & Petrochemicals,Commodity Chemicals,Commodity Chemicals
Imagica. Enter.,539056,IMAGICAA,Leisure Services,Amusement Parks/ Other Recreation,Amusement Parks/ Other Recreation
One Point One,,ONEPOINT,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Sagility,544282,SAGILITY,IT - Services,IT Enabled Services,IT Enabled Services
Sigma Solve,543917,SIGMA,IT - Services,IT Enabled Services,IT Enabled Services
Lloyds Enterpris,512463,LLOYDSENT,Metals & Minerals Trading,Trading - Metals,Metals & Minerals Trading
Manali Petrochem,500268,MANALIPETC,Chemicals & Petrochemicals,Petrochemicals,Petrochemicals
Prozone Realty,534675,PROZONER,Realty,"Residential, Commercial Projects",Realty
Meghmani Organi.,543331,MOL,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,Pesticides & Agrochemicals
IFCI,500106,IFCI,Finance,Financial Institution,Finance
Gateway Distri,543489,GATEWAY,Transport Services,Logistics Solution Provider,Logistics Solution Provider
VTM,532893,,Textiles & Apparels,Other Textile Products,Other Textile Products
Khaitan Chemical,507794,KHAICHEM,Fertilizers & Agrochemicals,Fertilizers,Fertilizers
Roto Pumps,517500,ROTO,Industrial Products,"Compressors, Pumps & Diesel Engines","Compressors, Pumps & Diesel Engines"
BIGBLOC Const.,540061,BIGBLOC,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Sh. Rama Multi.,532310,SHREERAMA,Industrial Products,Packaging,Packaging
Brigade Hotel,544457,BRIGHOTEL,Leisure Services,Hotels & Resorts,Hotels & Resorts
Andhra Cements,532141,ACL,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Servotech Renew,,SERVOTECH,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Satia Industries,539201,SATIA,"Paper, Forest & Jute Products",Paper & Paper Products,"Paper, Forest & Jute Products"
Shalimar Paints,509874,SHALPAINTS,Consumer Durables,Paints,Paints
Bluspring Enter.,544414,BLUSPRING,Commercial Services & Supplies,Diversified Commercial Services,Diversified Commercial Services
Sanghi Industrie,526521,SANGHIIND,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Tour. Fin. Corp.,526650,TFCILTD,Finance,Financial Institution,Finance
HFCL,500183,HFCL,Telecom - Services,Telecom - Infrastructure,Telecom - Services
Embassy Develop,532832,EMBDL,Realty,"Residential, Commercial Projects",Realty
Aditya Bir. Fas.,535755,ABFRL,Retailing,Speciality Retail,Speciality Retail
IRB InvIT Fund,540526,IRBINVIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",Transport Infrastructure
Advani Hotels.,523269,ADVANIHOTR,Leisure Services,Hotels & Resorts,Hotels & Resorts
Algoquant Fin,505725,ALGOQUANT,Finance,Other Financial Services,Finance
Visaka Industrie,509055,VISAKAIND,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Andhra Paper,502330,ANDHRAPAP,"Paper, Forest & Jute Products",Paper & Paper Products,"Paper, Forest & Jute Products"
Ujjivan Small,542904,UJJIVANSFB,Banks,Other Bank,Banks
Regaal Resources,544485,REGAAL,Agricultural Food & other Products,Other Agricultural Products,Other Agricultural Products
AVT Natural Prod,519105,AVTNPL,Agricultural Food & other Products,Other Agricultural Products,Other Agricultural Products
Vertoz,,VERTOZ,Media,Advertising & Media Agencies,Media
MMTC,513377,MMTC,Commercial Services & Supplies,Trading & Distributors,Trading & Distributors
Restaurant Brand,543248,RBA,Leisure Services,Restaurants,Restaurants
Delta Corp,532848,DELTACORP,Leisure Services,Amusement Parks/ Other Recreation,Amusement Parks/ Other Recreation
Oricon Enterpris,513121,ORICONENT,Industrial Products,Packaging,Packaging
Rajoo Engineers,522257,RAJOOENG,Industrial Manufacturing,Industrial Products,Industrial Products
Jai Balaji Inds.,532976,JAIBALAJI,Ferrous Metals,Iron & Steel,Ferrous Metals
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,Banks
Jagran Prakashan,532705,JAGRAN,Media,Print Media,Media
Cool Caps,,COOLCAPS,Industrial Products,Packaging,Packaging
Andhra Sugars,590062,ANDHRSUGAR,Chemicals & Petrochemicals,Commodity Chemicals,Commodity Chemicals
Roadstar Infra,544374,ROADSTAR,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",Transport Infrastructure
Geojit Fin. Ser.,532285,GEOJITFSL,Capital Markets,Stockbroking & Allied,Stockbroking & Allied
RDB Infrastruc.,533285,,Realty,"Residential, Commercial Projects",Realty
IOL Chemicals,524164,IOLCP,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Asian Granito,532888,ASIANTILES,Consumer Durables,Ceramics,Ceramics
Radhika Jeweltec,540125,RADHIKAJWE,Consumer Durables,"Gems, Jewellery And Watches","Gems, Jewellery And Watches"
Balmer Law. Inv.,532485,,Finance,Non Banking Financial Company (NBFC),Finance
Xchanging Sol.,532616,XCHANGING,IT - Software,Computers - Software & Consulting,Computers - Software & Consulting
Electrost.Cast.,500128,ELECTCAST,Industrial Products,Iron & Steel Products,Iron & Steel Products
Munjal Auto Inds,520059,MUNJALAU,Auto Components,Auto Components & Equipments,Auto Components & Equipments
GHCL Textiles,543918,GHCLTEXTIL,Textiles & Apparels,Other Textile Products,Other Textile Products
SJVN,533206,SJVN,Power,Power Generation,Power
Hindustan Media,533217,HMVL,Media,Print Media,Media
Grauer & Weil,505710,GRAUWEIL,Chemicals & Petrochemicals,Commodity Chemicals,Commodity Chemicals
Saurashtra Cem.,502175,SAURASHCEM,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Equitas Sma. Fin,543243,EQUITASBNK,Banks,Other Bank,Banks
Excelsoft Tech.,544617,EXCELSOFT,IT - Services,IT Enabled Services,IT Enabled Services
Apis India,506166,,Food Products,Other Food Products,Other Food Products
Jayaswal Neco,522285,JAYNECOIND,Industrial Products,Iron & Steel Products,Iron & Steel Products
SMC Global Sec.,543263,SMCGLOBAL,Capital Markets,Stockbroking & Allied,Stockbroking & Allied
Elitecon Inter.,539533,,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
S P I C,590030,SPIC,Fertilizers & Agrochemicals,Fertilizers,Fertilizers
Shriram Properti,543419,SHRIRAMPPS,Realty,"Residential, Commercial Projects",Realty
Anuh Pharma,506260,ANUHPHR,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Capital Infra,544338,CAPINVIT,Construction,Civil Construction,Construction
Tara Chand Infra,,TARACHAND,Commercial Services & Supplies,Diversified Commercial Services,Diversified Commercial Services
Madras Fertilize,590134,MADRASFERT,Fertilizers & Agrochemicals,Fertilizers,Fertilizers
Ganesh Benzopl.,500153,GANESHBE,Oil,Oil Storage & Transportation,Oil
NIIT,500304,NIITLTD,Other Consumer Services,Education,Other Consumer Services
Websol Energy,517498,WEBELSOLAR,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Omaxe,532880,OMAXE,Realty,"Residential, Commercial Projects",Realty
NHPC Ltd,533098,NHPC,Power,Power Generation,Power
Hi-Tech Pipes,543411,HITECH,Industrial Products,Iron & Steel Products,Iron & Steel Products
Om Infra,531092,OMINFRAL,Construction,Civil Construction,Construction
Sh. Digvijay Cem,502180,SHREDIGCEM,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
JTL Industries,534600,JTLIND,Industrial Products,Iron & Steel Products,Iron & Steel Products
Arihant Capital,511605,ARIHANTCAP,Capital Markets,Stockbroking & Allied,Stockbroking & Allied
NMDC,526371,NMDC,Minerals & Mining,Industrial Minerals,Minerals & Mining
Elpro Internatio,504000,,Realty,"Residential, Commercial Projects",Realty
KMC Speciality,524520,,Healthcare Services,Hospital,Hospital
Niva Bupa Health,544286,NIVABUPA,Insurance,General Insurance,Insurance
PNB Gilts,532366,PNBGILTS,Finance,Investment Company,Finance
Kirl. Electric,533193,KECL,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
W S Inds.,504220,WSI,Construction,Civil Construction,Construction
Innovassynth Inv,533315,,Finance,Investment Company,Finance
GTPL Hathway,540602,GTPL,Entertainment,TV Broadcasting & Software Production,Entertainment
Arfin India,539151,ARFIN,Non - Ferrous Metals,Aluminium,Non - Ferrous Metals
Natl.Fertilizer,523630,NFL,Fertilizers & Agrochemicals,Fertilizers,Fertilizers
Intl. Conveyors,509709,INTLCONV,Industrial Manufacturing,Industrial Products,Industrial Products
Sarla Performanc,526885,SARLAPOLY,Textiles & Apparels,Other Textile Products,Other Textile Products
Themis Medicare,530199,THEMISMED,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Aeroflex Enter.,511076,AEROENTER,Industrial Products,Iron & Steel Products,Iron & Steel Products
Haryana Fin. Co.,530927,,Finance,Financial Institution,Finance
Nitco,532722,NITCO,Consumer Durables,Ceramics,Ceramics
Dolat Algotech,505526,DOLATALGO,Capital Markets,Stockbroking & Allied,Stockbroking & Allied
NDTV,532529,NDTV,Entertainment,TV Broadcasting & Software Production,Entertainment
Sportking India,539221,SPORTKING,Textiles & Apparels,Other Textile Products,Other Textile Products
Zee Entertainmen,505537,ZEEL,Entertainment,TV Broadcasting & Software Production,Entertainment
Systematix Corp.,526506,SYSTMTXC,Capital Markets,Stockbroking & Allied,Stockbroking & Allied
Bhansali Engg.,500052,BEPL,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
Kokuyo Camlin,523207,KOKUYOCMLN,Household Products,Stationary,Household Products
Finkurve Fin.,508954,FINKURVE,Finance,Non Banking Financial Company (NBFC),Finance
Pudumjee Paper,539785,PDMJEPAPER,"Paper, Forest & Jute Products",Paper & Paper Products,"Paper, Forest & Jute Products"
IDFC First Bank,539437,IDFCFIRSTB,Banks,Private Sector Bank,Banks
Jay Bharat Maru.,520066,JAYBARMARU,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Energy InfrTrust,542543,,Gas,Gas Transmission/Marketing,Gas
Sambhv Steel,544430,SAMBHV,Industrial Products,Iron & Steel Products,Iron & Steel Products
Credo Brands,544058,MUFTI,Retailing,Speciality Retail,Speciality Retail
IIRM Holdings,526530,,Commercial Services & Supplies,Consulting Services,Consulting Services
Electronics Mart,543626,EMIL,Retailing,Diversified Retail,Diversified Retail
Vikran Engg.,544496,VIKRAN,Construction,Civil Construction,Construction
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,Finance
Sterlite Tech.,532374,STLTECH,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Kuantum Papers,532937,KUANTUM,"Paper, Forest & Jute Products",Paper & Paper Products,"Paper, Forest & Jute Products"
Balaji Telefilms,532382,BALAJITELE,Entertainment,Media & Entertainment,Entertainment
Nelcast,532864,NELCAST,Industrial Products,Castings & Forgings,Castings & Forgings
Sical Logistics,520086,SICALLOG,Transport Services,Logistics Solution Provider,Logistics Solution Provider
Som Distilleries,507514,SDBL,Beverages,Breweries & Distilleries,Beverages
NTPC Green Ene.,544289,NTPCGREEN,Power,Power Generation,Power
TGV Sraac,507753,,Chemicals & Petrochemicals,Commodity Chemicals,Commodity Chemicals
T N Petro Prod.,500777,TNPETRO,Chemicals & Petrochemicals,Petrochemicals,Petrochemicals
GMR Airports,532754,GMRAIRPORT,Transport Infrastructure,Airport & Airport services,Transport Infrastructure
Powergrid Infra.,543290,PGINVIT,Power,Power - Transmission,Power
Alembic,506235,ALEMBICLTD,Realty,"Residential, Commercial Projects",Realty
Sanstar,544217,SANSTAR,Agricultural Food & other Products,Other Agricultural Products,Other Agricultural Products
Bombay Super Hyb,,BSHSL,Agricultural Food & other Products,Other Agricultural Products,Other Agricultural Products
Guj.Nat.Resour.,513536,,Oil,Oil Exploration & Production,Oil
TVS Supply,543965,TVSSCS,Transport Services,Logistics Solution Provider,Logistics Solution Provider
NBCC,534309,NBCC,Construction,Civil Construction,Construction
Texmaco Infrast.,505400,TEXINFRA,Commercial Services & Supplies,Diversified Commercial Services,Railways
Ester Industries,500136,ESTER,Industrial Products,Packaging,Packaging
Dhampur Bio,543593,DBOL,Agricultural Food & other Products,Sugar,Sugar
Dreamfolks Servi,543591,DREAMFOLKS,Transport Infrastructure,Airport & Airport services,Transport Infrastructure
Navkar Corporat.,539332,NAVKARCORP,Transport Services,Logistics Solution Provider,Logistics Solution Provider
IDBI Bank,500116,IDBI,Banks,Private Sector Bank,Banks
Saint-Gob. Sekur,515043,,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Himatsing. Seide,514043,HIMATSEIDE,Textiles & Apparels,Other Textile Products,Other Textile Products
Insolation Ener,543620,,Power,Power Generation,Power
Gujarat Kidney,544666,GKSL,Healthcare Services,Hospital,Hospital
Master Trust,511768,MASTERTR,Capital Markets,Stockbroking & Allied,Stockbroking & Allied
Exicom Tele-Sys.,544133,EXICOM,Electrical Equipment,Heavy Electrical Equipment,Electrical Equipment
R M Drip & Sprin,544456,RMDRIP,Industrial Products,Plastic Products - Industrial,Plastic Products - Industrial
Azad India,504731,,Industrial Products,Iron & Steel Products,Iron & Steel Products
Oriental Hotels,500314,ORIENTHOT,Leisure Services,Hotels & Resorts,Hotels & Resorts
GMR Urban,543490,GMRP&UI,Power,Power Generation,Power
SBFC Finance,543959,SBFC,Finance,Non Banking Financial Company (NBFC),Finance
GPT Infraproject,533761,GPTINFRA,Construction,Civil Construction,Construction
Shrem InvIT,,SHREMINVIT,Construction,Civil Construction,Construction
Valor Estate,533160,DBREALTY,Leisure Services,Hotels & Resorts,Hotels & Resorts
A B Lifestyle,544403,ABLBL,Retailing,Speciality Retail,Speciality Retail
Inox Wind,539083,INOXWIND,Electrical Equipment,Heavy Electrical Equipment,Electrical Equipment
Anantam Highways,544579,ANANTAM,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",Transport Infrastructure
Edelweiss.Fin.,532922,EDELWEISS,Finance,Holding Company,Finance
J & K Bank,532209,J&KBANK,Banks,Private Sector Bank,Banks
Speciality Rest.,534425,SPECIALITY,Leisure Services,Restaurants,Restaurants
Linc,531241,LINC,Household Products,Stationary,Household Products
Borosil Scienti.,544184,BOROSCI,Industrial Products,Glass - Industrial,Glass - Industrial
Man Infra,533169,MANINFRA,Construction,Civil Construction,Construction
Renaiss. Global,532923,RGL,Consumer Durables,"Gems, Jewellery And Watches","Gems, Jewellery And Watches"
Arisinfra Solu.,544419,ARISINFRA,Other Construction Materials,Other Construction Materials,Other Construction Materials
R K Swamy,544136,RKSWAMY,Media,Advertising & Media Agencies,Media
Vertis Infra.,,VERTIS,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",Transport Infrastructure
Unicommerce,544227,UNIECOM,IT - Software,Software Products,Software Products
Popular Vehicles,544144,PVSL,Automobiles,Auto Dealer,Automobiles
Jai Corp,512237,JAICORPLTD,Industrial Products,Plastic Products - Industrial,Plastic Products - Industrial
Samvardh. Mothe.,517334,MOTHERSON,Auto Components,Auto Components & Equipments,Auto Components & Equipments
The Invest.Trust,530023,THEINVEST,Finance,Other Financial Services,Finance
Western Carriers,544258,WCIL,Transport Services,Logistics Solution Provider,Logistics Solution Provider
Ind-Swift Labs.,532305,INDSWFTLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Digitide Solutio,544413,DIGITIDE,IT - Services,IT Enabled Services,IT Enabled Services
TVS Infra. Trust,,TVSINVIT,Commercial Services & Supplies,Diversified Commercial Services,Diversified Commercial Services
Bombay Dyeing,500020,BOMDYEING,Textiles & Apparels,Other Textile Products,Other Textile Products
Arkade,544261,ARKADE,Realty,"Residential, Commercial Projects",Realty
Prakash Industri,506022,PRAKASH,Ferrous Metals,Iron & Steel,Ferrous Metals
Redtape,543957,REDTAPE,Consumer Durables,Footwear,Footwear
Dhampur Sugar,500119,DHAMPURSUG,Agricultural Food & other Products,Sugar,Sugar
Mufin Green,542774,MUFIN,Finance,Non Banking Financial Company (NBFC),Finance
Indo Amines,524648,INDOAMIN,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
S T C,512531,STCINDIA,Commercial Services & Supplies,Trading & Distributors,Trading & Distributors
I R F C,543257,IRFC,Finance,Financial Institution,Railways
Ent.Network,532700,ENIL,Entertainment,Media & Entertainment,Entertainment
Everest Kanto,532684,EKC,Industrial Manufacturing,Industrial Products,Industrial Products
Devyani Intl.,543330,DEVYANI,Leisure Services,Restaurants,Restaurants
Rico Auto Inds,520008,RICOAUTO,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Sai Silks,543989,KALAMANDIR,Retailing,Speciality Retail,Speciality Retail
Ujaas Energy,533644,UEL,Power,Power Generation,Power
Jamna Auto Inds.,520051,JAMNAAUTO,Auto Components,Auto Components & Equipments,Auto Components & Equipments
JSW Cement,544480,JSWCEMENT,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Kothari Petroche,,KOTHARIPET,Chemicals & Petrochemicals,Petrochemicals,Petrochemicals
Bharat Global,521238,,IT - Hardware,Computers Hardware & Equipments,IT - Hardware
Adit.Birla Money,532974,BIRLAMONEY,Capital Markets,Stockbroking & Allied,Stockbroking & Allied
Anzen IYEP Trust,543655,ANZEN,Power,Power - Transmission,Power
GK Energy,544525,GKENERGY,Construction,Civil Construction,Construction
Karnika Industri,,KARNIKA,Textiles & Apparels,Garments & Apparels,Garments & Apparels
Sustainable Ener,,SEITINVIT,Power,Power Generation,Power
Texmaco Rail,533326,TEXRAIL,Industrial Manufacturing,Industrial Products,Railways
Indus Inf. Trust,544137,INDUSINVIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",Transport Infrastructure
Rolex Rings,543325,ROLEXRINGS,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Allied Digital,532875,ADSL,IT - Services,IT Enabled Services,IT Enabled Services
Punjab Natl.Bank,532461,PNB,Banks,Public Sector Bank,Banks
Prism Johnson,500338,PRSMJOHNSN,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Welspun Living,514162,WELSPUNLIV,Textiles & Apparels,Other Textile Products,Other Textile Products
Apeejay Surrend.,544111,PARKHOTELS,Leisure Services,Hotels & Resorts,Hotels & Resorts
Standard Engineering Technology,544333,SETL,Industrial Manufacturing,Industrial Products,Industrial Products
Menon Bearings,523828,MENONBE,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Dec.Gold Mines,512068,,Non - Ferrous Metals,Precious Metals,Non - Ferrous Metals
Mukand,500460,MUKANDLTD,Ferrous Metals,Iron & Steel,Ferrous Metals
Diamond Power,522163,DIACABS,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
T.V. Today Netw.,532515,TVTODAY,Entertainment,TV Broadcasting & Software Production,Entertainment
Thomas Cook (I),500413,THOMASCOOK,Leisure Services,"Tour, Travel Related Services","Tour, Travel Related Services"
Jagatjit Inds.,507155,,Beverages,Breweries & Distilleries,Beverages
Lemon Tree Hotel,541233,LEMONTREE,Leisure Services,Hotels & Resorts,Hotels & Resorts
Vishal Mega Mart,544307,VMM,Retailing,Diversified Retail,Diversified Retail
Urban Company,544515,URBANCO,Retailing,E-Retail/ E-Commerce,E-Retail/ E-Commerce
SPARC,532872,SPARC,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
NDR INVIT Trust,,NDRINVIT,Commercial Services & Supplies,Diversified Commercial Services,Diversified Commercial Services
Physicswallah,544609,PWL,Other Consumer Services,E-Learning,Other Consumer Services
Manaksia Coated,539046,MANAKCOAT,Industrial Products,Iron & Steel Products,Iron & Steel Products
Anlon Healthcare,544497,AHCL,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Uniphos Enter.,500429,UNIENTER,Chemicals & Petrochemicals,Trading - Chemicals,Trading - Chemicals
Indian Renewable,544026,IREDA,Finance,Financial Institution,Finance
Indian Energy Ex,540750,IEX,Capital Markets,Exchange and Data Platform,Capital Markets
Hemisphere Prop,543242,HEMIPROP,Commercial Services & Supplies,Diversified Commercial Services,Diversified Commercial Services
Gulshan Polyols,532457,GULPOLY,Agricultural Food & other Products,Other Agricultural Products,Other Agricultural Products
NOCIL,500730,NOCIL,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
R C F,524230,RCF,Fertilizers & Agrochemicals,Fertilizers,Fertilizers
JM Financial,523405,JMFINANCIL,Finance,Holding Company,Finance
Advance Agrolife,544562,ADVANCE,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,Pesticides & Agrochemicals
Paradeep Phosph.,543530,PARADEEP,Fertilizers & Agrochemicals,Fertilizers,Fertilizers
GPT Healthcare,544131,GPTHEALTH,Healthcare Services,Hospital,Hospital
RSWM Ltd,500350,RSWM,Textiles & Apparels,Other Textile Products,Other Textile Products
Forbes Precision,544186,,Industrial Manufacturing,Industrial Products,Industrial Products
T N Newsprint,531426,TNPL,"Paper, Forest & Jute Products",Paper & Paper Products,"Paper, Forest & Jute Products"
JTEKT India,520057,JTEKTINDIA,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Scoda Tubes,544411,SCODATUBES,Industrial Products,Iron & Steel Products,Iron & Steel Products
Manba Finance,544262,MANBA,Finance,Non Banking Financial Company (NBFC),Finance
Kopran,524280,KOPRAN,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Suryoday Small,543279,SURYODAY,Banks,Other Bank,Banks
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,Power
Suven Life Scie.,530239,SUVEN,Healthcare Services,"Healthcare Research, Analytics & Technology","Healthcare Research, Analytics & Technology"
RBZ Jewellers Lt,544060,RBZJEWEL,Consumer Durables,"Gems, Jewellery And Watches","Gems, Jewellery And Watches"
KNR Construct.,532942,KNRCON,Construction,Civil Construction,Construction
Aequs,544634,AEQUS,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense
Rain Industries,500339,RAIN,Chemicals & Petrochemicals,Petrochemicals,Petrochemicals
Precision Camshf,539636,PRECAM,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Spel Semiconduct,517166,,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Guj. Ambuja Exp,524226,GAEL,Agricultural Food & other Products,Other Agricultural Products,Other Agricultural Products
Guj Inds. Power,517300,GIPCL,Power,Power Generation,Power
Avantel,532406,AVANTEL,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense
Mafatlal Inds.,500264,,Textiles & Apparels,Other Textile Products,Other Textile Products
Ratnaveer Precis,543978,RATNAVEER,Industrial Products,Iron & Steel Products,Iron & Steel Products
Laxmi Organic,543277,LXCHEM,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
Sammaan Capital,535789,SAMMAANCAP,Finance,Housing Finance Company,Finance
R&B Denims,538119,RNBDENIMS,Textiles & Apparels,Other Textile Products,Other Textile Products
Wonder Electric.,543449,WEL,Consumer Durables,Household Appliances,Household Appliances
Bharat Seats,523229,BHARATSE,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Cube Highways,543899,CUBEINVIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",Transport Infrastructure
Navneet Educat.,508989,NAVNETEDUL,Printing & Publication,Printing & Publication,Printing & Publication
CESC,500084,CESC,Power,Integrated Power Utilities,Power
Reliance Infra.,500390,RELINFRA,Power,Integrated Power Utilities,Power
Oriental Rail,531859,,Industrial Products,Other Industrial Products,Other Industrial Products
Maan Aluminium,532906,MAANALU,Non - Ferrous Metals,Aluminium,Non - Ferrous Metals
NCC,500294,NCC,Construction,Civil Construction,Construction
Artson,522134,,Industrial Manufacturing,Industrial Products,Industrial Products
Share India Sec.,540725,SHAREINDIA,Capital Markets,Stockbroking & Allied,Stockbroking & Allied
String Metaverse,534535,,IT - Services,IT Enabled Services,IT Enabled Services
S H Kelkar & Co.,539450,SHK,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
Ravindra Energy,504341,RELTD,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Viceroy Hotels,523796,VHLTD,Leisure Services,Hotels & Resorts,Hotels & Resorts
Camlin Fine,532834,CAMLINFINE,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
New India Assura,540769,NIACL,Insurance,General Insurance,Insurance
Yatra Online,543992,YATRA,Leisure Services,"Tour, Travel Related Services","Tour, Travel Related Services"
Marsons,517467,,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Fedbank Financi.,544027,FEDFINA,Finance,Non Banking Financial Company (NBFC),Finance
Maple Inf. Trust,543925,,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",Transport Infrastructure
Ashoka Buildcon,533271,ASHOKA,Construction,Civil Construction,Construction
Canara HSBC,544583,CANHLIFE,Insurance,Life Insurance,Insurance
Ugro Capital,511742,UGROCAP,Finance,Non Banking Financial Company (NBFC),Finance
Hind.Oil Explor.,500186,HINDOILEXP,Oil,Oil Exploration & Production,Oil
Vintage Coffee,538920,VINCOFE,Commercial Services & Supplies,Trading & Distributors,Trading & Distributors
Bajel Projects,544042,BAJEL,Electrical Equipment,Heavy Electrical Equipment,Electrical Equipment
India Pesticides,543311,IPL,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,Pesticides & Agrochemicals
Prostarm Info,544410,PROSTARM,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Shanti Educat.,539921,,Other Consumer Services,Education,Other Consumer Services
Sharat Industrie,519397,,Food Products,Seafood,Seafood
Ajmera Realty,513349,AJMERA,Realty,"Residential, Commercial Projects",Realty
Elin Electronics,543725,ELIN,Consumer Durables,Household Appliances,Household Appliances
Commerl. Synbags,539986,COMSYN,Industrial Products,Packaging,Packaging
S A I L,500113,SAIL,Ferrous Metals,Iron & Steel,Ferrous Metals
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,Banks
IKIO Tech,543923,IKIO,Consumer Durables,Consumer Electronics,Consumer Electronics
Pyramid Technopl,543969,PYRAMID,Industrial Products,Packaging,Packaging
AYM Syntex,508933,AYMSYNTEX,Textiles & Apparels,Other Textile Products,Other Textile Products
Altius Telecom,543225,,Telecom - Services,Telecom - Infrastructure,Telecom - Services
Rupa & Co,533552,RUPA,Textiles & Apparels,Garments & Apparels,Garments & Apparels
Gem Aromatics,544491,GEMAROMA,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
Rama Phosphates,524037,RAMAPHO,Fertilizers & Agrochemicals,Fertilizers,Fertilizers
National High,543385,NHIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",Transport Infrastructure
Piramal Pharma,543635,PPLPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Canara Bank,532483,CANBK,Banks,Public Sector Bank,Banks
Walchan. Inds.,507410,WALCHANNAG,Industrial Manufacturing,Industrial Products,Industrial Products
Satin Creditcare,539404,SATIN,Finance,Microfinance Institutions,Finance
Max India Ltd,543223,MAXIND,Finance,Holding Company,Finance
Prabha Energy,544379,PRABHA,Oil,Oil Exploration & Production,Oil
Sri Lotus,544469,LOTUSDEV,Realty,"Residential, Commercial Projects",Realty
S Chand & Compan,540497,SCHAND,Printing & Publication,Printing & Publication,Printing & Publication
Gokul Agro,539725,GOKULAGRO,Agricultural Food & other Products,Edible Oil,Edible Oil
Ircon Intl.,541956,IRCON,Construction,Civil Construction,Railways
